N,AreaWide,ErrorWidePercent,RectangleAreaWide,AreaNarrow,ErrorNarrowPercent,RectangleAreaNarrow,ExactArea
100,0.874992,7.3609,9.72214,1,5.8742,1.25,0.944517
600,1.02082,8.07895,9.72214,0.9625,1.90392,1.25,0.944517
1100,1.01641,7.61108,9.72214,0.951136,0.7008,1.25,0.944517
1600,0.984366,4.21899,9.72214,0.952344,0.828631,1.25,0.944517
2100,0.990732,4.89295,9.72214,0.955952,1.21069,1.25,0.944517
2600,0.998389,5.70359,9.72214,0.949038,0.478686,1.25,0.944517
3100,1.00044,5.92069,9.72214,0.950806,0.665871,1.25,0.944517
3600,1.03163,9.22264,9.72214,0.950347,0.61725,1.25,0.944517
4100,1.00541,6.4471,9.72214,0.951524,0.741882,1.25,0.944517
4600,1.00814,6.73636,9.72214,0.952717,0.86819,1.25,0.944517
5100,1.01606,7.57438,9.72214,0.955882,1.20328,1.25,0.944517
5600,1.01735,7.71134,9.72214,0.954688,1.07677,1.25,0.944517
6100,1.01365,7.31962,9.72214,0.951844,0.775748,1.25,0.944517
6600,1.00315,6.20745,9.72214,0.950758,0.660696,1.25,0.944517
7100,1.00097,5.97681,9.72214,0.950352,0.617768,1.25,0.944517
7600,0.988844,4.69302,9.72214,0.949836,0.563075,1.25,0.944517
8100,0.981816,3.94895,9.72214,0.949691,0.547811,1.25,0.944517
8600,0.98691,4.48829,9.72214,0.951599,0.749764,1.25,0.944517
9100,0.989307,4.74213,9.72214,0.951786,0.76955,1.25,0.944517
9600,0.98943,4.7551,9.72214,0.951432,0.732131,1.25,0.944517
10100,0.991465,4.9706,9.72214,0.949629,0.541179,1.25,0.944517
10600,0.992392,5.06867,9.72214,0.947995,0.368241,1.25,0.944517
11100,0.991483,4.97244,9.72214,0.947973,0.365879,1.25,0.944517
11600,0.983947,4.17462,9.72214,0.947737,0.340903,1.25,0.944517
12100,0.974624,3.18754,9.72214,0.947521,0.317991,1.25,0.944517
12600,0.966041,2.2788,9.72214,0.946925,0.254883,1.25,0.944517
13100,0.965534,2.22517,9.72214,0.94771,0.338029,1.25,0.944517
13600,0.965065,2.17548,9.72214,0.947335,0.298287,1.25,0.944517
14100,0.96256,1.91031,9.72214,0.947784,0.345838,1.25,0.944517
14600,0.964889,2.15682,9.72214,0.948545,0.426391,1.25,0.944517
15100,0.9632,1.978,9.72214,0.948013,0.370142,1.25,0.944517
15600,0.95788,1.41474,9.72214,0.947997,0.368401,1.25,0.944517
16100,0.955306,1.14221,9.72214,0.947283,0.292787,1.25,0.944517
16600,0.955815,1.19613,9.72214,0.947741,0.341315,1.25,0.944517
17100,0.953452,0.945922,9.72214,0.947588,0.32509,1.25,0.944517
17600,0.952327,0.826901,9.72214,0.947372,0.302268,1.25,0.944517
18100,0.950728,0.657587,9.72214,0.946547,0.214901,1.25,0.944517
18600,0.949738,0.552717,9.72214,0.946035,0.160692,1.25,0.944517
19100,0.946763,0.237771,9.72214,0.946008,0.157823,1.25,0.944517
19600,0.944436,0.00858869,9.72214,0.947513,0.317153,1.25,0.944517
20100,0.946094,0.166989,9.72214,0.946766,0.238109,1.25,0.944517
20600,0.945784,0.134175,9.72214,0.946056,0.162902,1.25,0.944517
21100,0.942725,0.189783,9.72214,0.946031,0.160253,1.25,0.944517
21600,0.941157,0.355781,9.72214,0.945891,0.145473,1.25,0.944517
22100,0.941859,0.281389,9.72214,0.946097,0.167292,1.25,0.944517
22600,0.94038,0.438016,9.72214,0.946737,0.234992,1.25,0.944517
