ArraySize,ArrayType,Algorithm,Threshold,TimeMs
500,Random,StandardMerge,0,0.000000
500,AlmostSorted,StandardMerge,0,0.000000
500,ReverseSorted,StandardMerge,0,0.000000
500,Random,Hybrid,10,0.000000
500,AlmostSorted,Hybrid,10,0.000000
500,ReverseSorted,Hybrid,10,0.000000
500,Random,Hybrid,50,0.000000
500,AlmostSorted,Hybrid,50,0.000000
500,ReverseSorted,Hybrid,50,0.000000
600,Random,StandardMerge,0,0.000000
600,AlmostSorted,StandardMerge,0,0.000000
600,ReverseSorted,StandardMerge,0,0.000000
600,Random,Hybrid,10,0.000000
600,AlmostSorted,Hybrid,10,0.000000
600,ReverseSorted,Hybrid,10,0.000000
600,Random,Hybrid,50,0.000000
600,AlmostSorted,Hybrid,50,0.000000
600,ReverseSorted,Hybrid,50,0.000000
700,Random,StandardMerge,0,0.000000
700,AlmostSorted,StandardMerge,0,0.000000
700,ReverseSorted,StandardMerge,0,0.000000
700,Random,Hybrid,10,0.000000
700,AlmostSorted,Hybrid,10,0.000000
700,ReverseSorted,Hybrid,10,0.000000
700,Random,Hybrid,50,0.000000
700,AlmostSorted,Hybrid,50,0.000000
700,ReverseSorted,Hybrid,50,0.000000
800,Random,StandardMerge,0,0.000000
800,AlmostSorted,StandardMerge,0,0.000000
800,ReverseSorted,StandardMerge,0,0.000000
800,Random,Hybrid,10,1.000000
800,AlmostSorted,Hybrid,10,0.000000
800,ReverseSorted,Hybrid,10,0.000000
800,Random,Hybrid,50,0.000000
800,AlmostSorted,Hybrid,50,0.000000
800,ReverseSorted,Hybrid,50,1.000000
900,Random,StandardMerge,0,0.000000
900,AlmostSorted,StandardMerge,0,0.000000
900,ReverseSorted,StandardMerge,0,0.000000
900,Random,Hybrid,10,0.000000
900,AlmostSorted,Hybrid,10,0.000000
900,ReverseSorted,Hybrid,10,1.000000
900,Random,Hybrid,50,0.000000
900,AlmostSorted,Hybrid,50,0.000000
900,ReverseSorted,Hybrid,50,1.000000
1000,Random,StandardMerge,0,0.000000
1000,AlmostSorted,StandardMerge,0,0.000000
1000,ReverseSorted,StandardMerge,0,0.000000
1000,Random,Hybrid,10,0.000000
1000,AlmostSorted,Hybrid,10,0.000000
1000,ReverseSorted,Hybrid,10,1.000000
1000,Random,Hybrid,50,0.000000
1000,AlmostSorted,Hybrid,50,0.000000
1000,ReverseSorted,Hybrid,50,1.000000
1100,Random,StandardMerge,0,0.000000
1100,AlmostSorted,StandardMerge,0,0.000000
1100,ReverseSorted,StandardMerge,0,0.000000
1100,Random,Hybrid,10,0.000000
1100,AlmostSorted,Hybrid,10,0.000000
1100,ReverseSorted,Hybrid,10,2.000000
1100,Random,Hybrid,50,1.000000
1100,AlmostSorted,Hybrid,50,0.000000
1100,ReverseSorted,Hybrid,50,1.000000
1200,Random,StandardMerge,0,0.000000
1200,AlmostSorted,StandardMerge,0,0.000000
1200,ReverseSorted,StandardMerge,0,0.000000
1200,Random,Hybrid,10,2.000000
1200,AlmostSorted,Hybrid,10,0.000000
1200,ReverseSorted,Hybrid,10,2.000000
1200,Random,Hybrid,50,1.000000
1200,AlmostSorted,Hybrid,50,0.000000
1200,ReverseSorted,Hybrid,50,2.000000
1300,Random,StandardMerge,0,0.000000
1300,AlmostSorted,StandardMerge,0,0.000000
1300,ReverseSorted,StandardMerge,0,0.000000
1300,Random,Hybrid,10,1.000000
1300,AlmostSorted,Hybrid,10,0.000000
1300,ReverseSorted,Hybrid,10,2.000000
1300,Random,Hybrid,50,1.000000
1300,AlmostSorted,Hybrid,50,0.000000
1300,ReverseSorted,Hybrid,50,2.000000
1400,Random,StandardMerge,0,0.000000
1400,AlmostSorted,StandardMerge,0,0.000000
1400,ReverseSorted,StandardMerge,0,0.000000
1400,Random,Hybrid,10,1.000000
1400,AlmostSorted,Hybrid,10,0.000000
1400,ReverseSorted,Hybrid,10,3.000000
1400,Random,Hybrid,50,1.000000
1400,AlmostSorted,Hybrid,50,0.000000
1400,ReverseSorted,Hybrid,50,2.000000
1500,Random,StandardMerge,0,0.000000
1500,AlmostSorted,StandardMerge,0,0.000000
1500,ReverseSorted,StandardMerge,0,0.000000
1500,Random,Hybrid,10,1.000000
1500,AlmostSorted,Hybrid,10,0.000000
1500,ReverseSorted,Hybrid,10,3.000000
1500,Random,Hybrid,50,1.000000
1500,AlmostSorted,Hybrid,50,0.000000
1500,ReverseSorted,Hybrid,50,4.000000
1600,Random,StandardMerge,0,0.000000
1600,AlmostSorted,StandardMerge,0,0.000000
1600,ReverseSorted,StandardMerge,0,0.000000
1600,Random,Hybrid,10,1.000000
1600,AlmostSorted,Hybrid,10,0.000000
1600,ReverseSorted,Hybrid,10,3.000000
1600,Random,Hybrid,50,1.000000
1600,AlmostSorted,Hybrid,50,0.000000
1600,ReverseSorted,Hybrid,50,3.000000
1700,Random,StandardMerge,0,0.000000
1700,AlmostSorted,StandardMerge,0,0.000000
1700,ReverseSorted,StandardMerge,0,0.000000
1700,Random,Hybrid,10,2.000000
1700,AlmostSorted,Hybrid,10,0.000000
1700,ReverseSorted,Hybrid,10,4.000000
1700,Random,Hybrid,50,2.000000
1700,AlmostSorted,Hybrid,50,0.000000
1700,ReverseSorted,Hybrid,50,4.000000
1800,Random,StandardMerge,0,0.000000
1800,AlmostSorted,StandardMerge,0,0.000000
1800,ReverseSorted,StandardMerge,0,0.000000
1800,Random,Hybrid,10,2.000000
1800,AlmostSorted,Hybrid,10,0.000000
1800,ReverseSorted,Hybrid,10,4.000000
1800,Random,Hybrid,50,2.000000
1800,AlmostSorted,Hybrid,50,0.000000
1800,ReverseSorted,Hybrid,50,4.000000
1900,Random,StandardMerge,0,0.000000
1900,AlmostSorted,StandardMerge,0,0.000000
1900,ReverseSorted,StandardMerge,0,0.000000
1900,Random,Hybrid,10,2.000000
1900,AlmostSorted,Hybrid,10,0.000000
1900,ReverseSorted,Hybrid,10,4.000000
1900,Random,Hybrid,50,2.000000
1900,AlmostSorted,Hybrid,50,0.000000
1900,ReverseSorted,Hybrid,50,7.000000
2000,Random,StandardMerge,0,1.000000
2000,AlmostSorted,StandardMerge,0,0.000000
2000,ReverseSorted,StandardMerge,0,0.000000
2000,Random,Hybrid,10,2.000000
2000,AlmostSorted,Hybrid,10,0.000000
2000,ReverseSorted,Hybrid,10,5.000000
2000,Random,Hybrid,50,6.000000
2000,AlmostSorted,Hybrid,50,0.000000
2000,ReverseSorted,Hybrid,50,9.000000
2100,Random,StandardMerge,0,0.000000
2100,AlmostSorted,StandardMerge,0,0.000000
2100,ReverseSorted,StandardMerge,0,0.000000
2100,Random,Hybrid,10,3.000000
2100,AlmostSorted,Hybrid,10,0.000000
2100,ReverseSorted,Hybrid,10,6.000000
2100,Random,Hybrid,50,4.000000
2100,AlmostSorted,Hybrid,50,0.000000
2100,ReverseSorted,Hybrid,50,6.000000
2200,Random,StandardMerge,0,0.000000
2200,AlmostSorted,StandardMerge,0,0.000000
2200,ReverseSorted,StandardMerge,0,0.000000
2200,Random,Hybrid,10,3.000000
2200,AlmostSorted,Hybrid,10,0.000000
2200,ReverseSorted,Hybrid,10,8.000000
2200,Random,Hybrid,50,3.000000
2200,AlmostSorted,Hybrid,50,0.000000
2200,ReverseSorted,Hybrid,50,6.000000
2300,Random,StandardMerge,0,0.000000
2300,AlmostSorted,StandardMerge,0,0.000000
2300,ReverseSorted,StandardMerge,0,0.000000
2300,Random,Hybrid,10,3.000000
2300,AlmostSorted,Hybrid,10,0.000000
2300,ReverseSorted,Hybrid,10,7.000000
2300,Random,Hybrid,50,3.000000
2300,AlmostSorted,Hybrid,50,0.000000
2300,ReverseSorted,Hybrid,50,7.000000
2400,Random,StandardMerge,0,0.000000
2400,AlmostSorted,StandardMerge,0,0.000000
2400,ReverseSorted,StandardMerge,0,0.000000
2400,Random,Hybrid,10,4.000000
2400,AlmostSorted,Hybrid,10,0.000000
2400,ReverseSorted,Hybrid,10,8.000000
2400,Random,Hybrid,50,4.000000
2400,AlmostSorted,Hybrid,50,0.000000
2400,ReverseSorted,Hybrid,50,15.000000
2500,Random,StandardMerge,0,0.000000
2500,AlmostSorted,StandardMerge,0,0.000000
2500,ReverseSorted,StandardMerge,0,0.000000
2500,Random,Hybrid,10,5.000000
2500,AlmostSorted,Hybrid,10,0.000000
2500,ReverseSorted,Hybrid,10,9.000000
2500,Random,Hybrid,50,4.000000
2500,AlmostSorted,Hybrid,50,0.000000
2500,ReverseSorted,Hybrid,50,10.000000
2600,Random,StandardMerge,0,0.000000
2600,AlmostSorted,StandardMerge,0,0.000000
2600,ReverseSorted,StandardMerge,0,0.000000
2600,Random,Hybrid,10,4.000000
2600,AlmostSorted,Hybrid,10,0.000000
2600,ReverseSorted,Hybrid,10,17.000000
2600,Random,Hybrid,50,4.000000
2600,AlmostSorted,Hybrid,50,0.000000
2600,ReverseSorted,Hybrid,50,9.000000
2700,Random,StandardMerge,0,0.000000
2700,AlmostSorted,StandardMerge,0,0.000000
2700,ReverseSorted,StandardMerge,0,0.000000
2700,Random,Hybrid,10,5.000000
2700,AlmostSorted,Hybrid,10,0.000000
2700,ReverseSorted,Hybrid,10,10.000000
2700,Random,Hybrid,50,5.000000
2700,AlmostSorted,Hybrid,50,0.000000
2700,ReverseSorted,Hybrid,50,10.000000
2800,Random,StandardMerge,0,0.000000
2800,AlmostSorted,StandardMerge,0,0.000000
2800,ReverseSorted,StandardMerge,0,0.000000
2800,Random,Hybrid,10,10.000000
2800,AlmostSorted,Hybrid,10,0.000000
2800,ReverseSorted,Hybrid,10,13.000000
2800,Random,Hybrid,50,5.000000
2800,AlmostSorted,Hybrid,50,0.000000
2800,ReverseSorted,Hybrid,50,10.000000
2900,Random,StandardMerge,0,0.000000
2900,AlmostSorted,StandardMerge,0,0.000000
2900,ReverseSorted,StandardMerge,0,0.000000
2900,Random,Hybrid,10,5.000000
2900,AlmostSorted,Hybrid,10,0.000000
2900,ReverseSorted,Hybrid,10,18.000000
2900,Random,Hybrid,50,5.000000
2900,AlmostSorted,Hybrid,50,0.000000
2900,ReverseSorted,Hybrid,50,15.000000
3000,Random,StandardMerge,0,0.000000
3000,AlmostSorted,StandardMerge,0,0.000000
3000,ReverseSorted,StandardMerge,0,0.000000
3000,Random,Hybrid,10,7.000000
3000,AlmostSorted,Hybrid,10,0.000000
3000,ReverseSorted,Hybrid,10,16.000000
3000,Random,Hybrid,50,7.000000
3000,AlmostSorted,Hybrid,50,0.000000
3000,ReverseSorted,Hybrid,50,14.000000
3100,Random,StandardMerge,0,0.000000
3100,AlmostSorted,StandardMerge,0,0.000000
3100,ReverseSorted,StandardMerge,0,0.000000
3100,Random,Hybrid,10,6.000000
3100,AlmostSorted,Hybrid,10,0.000000
3100,ReverseSorted,Hybrid,10,13.000000
3100,Random,Hybrid,50,6.000000
3100,AlmostSorted,Hybrid,50,0.000000
3100,ReverseSorted,Hybrid,50,13.000000
3200,Random,StandardMerge,0,0.000000
3200,AlmostSorted,StandardMerge,0,0.000000
3200,ReverseSorted,StandardMerge,0,0.000000
3200,Random,Hybrid,10,7.000000
3200,AlmostSorted,Hybrid,10,0.000000
3200,ReverseSorted,Hybrid,10,28.000000
3200,Random,Hybrid,50,8.000000
3200,AlmostSorted,Hybrid,50,0.000000
3200,ReverseSorted,Hybrid,50,17.000000
3300,Random,StandardMerge,0,0.000000
3300,AlmostSorted,StandardMerge,0,0.000000
3300,ReverseSorted,StandardMerge,0,0.000000
3300,Random,Hybrid,10,7.000000
3300,AlmostSorted,Hybrid,10,0.000000
3300,ReverseSorted,Hybrid,10,15.000000
3300,Random,Hybrid,50,13.000000
3300,AlmostSorted,Hybrid,50,0.000000
3300,ReverseSorted,Hybrid,50,16.000000
3400,Random,StandardMerge,0,0.000000
3400,AlmostSorted,StandardMerge,0,0.000000
3400,ReverseSorted,StandardMerge,0,0.000000
3400,Random,Hybrid,10,13.000000
3400,AlmostSorted,Hybrid,10,0.000000
3400,ReverseSorted,Hybrid,10,20.000000
3400,Random,Hybrid,50,8.000000
3400,AlmostSorted,Hybrid,50,0.000000
3400,ReverseSorted,Hybrid,50,20.000000
3500,Random,StandardMerge,0,0.000000
3500,AlmostSorted,StandardMerge,0,0.000000
3500,ReverseSorted,StandardMerge,0,0.000000
3500,Random,Hybrid,10,8.000000
3500,AlmostSorted,Hybrid,10,0.000000
3500,ReverseSorted,Hybrid,10,21.000000
3500,Random,Hybrid,50,9.000000
3500,AlmostSorted,Hybrid,50,0.000000
3500,ReverseSorted,Hybrid,50,18.000000
3600,Random,StandardMerge,0,1.000000
3600,AlmostSorted,StandardMerge,0,0.000000
3600,ReverseSorted,StandardMerge,0,0.000000
3600,Random,Hybrid,10,12.000000
3600,AlmostSorted,Hybrid,10,0.000000
3600,ReverseSorted,Hybrid,10,18.000000
3600,Random,Hybrid,50,8.000000
3600,AlmostSorted,Hybrid,50,0.000000
3600,ReverseSorted,Hybrid,50,17.000000
3700,Random,StandardMerge,0,0.000000
3700,AlmostSorted,StandardMerge,0,0.000000
3700,ReverseSorted,StandardMerge,0,0.000000
3700,Random,Hybrid,10,24.000000
3700,AlmostSorted,Hybrid,10,0.000000
3700,ReverseSorted,Hybrid,10,19.000000
3700,Random,Hybrid,50,11.000000
3700,AlmostSorted,Hybrid,50,0.000000
3700,ReverseSorted,Hybrid,50,19.000000
3800,Random,StandardMerge,0,0.000000
3800,AlmostSorted,StandardMerge,0,0.000000
3800,ReverseSorted,StandardMerge,0,0.000000
3800,Random,Hybrid,10,9.000000
3800,AlmostSorted,Hybrid,10,0.000000
3800,ReverseSorted,Hybrid,10,19.000000
3800,Random,Hybrid,50,9.000000
3800,AlmostSorted,Hybrid,50,0.000000
3800,ReverseSorted,Hybrid,50,20.000000
3900,Random,StandardMerge,0,0.000000
3900,AlmostSorted,StandardMerge,0,0.000000
3900,ReverseSorted,StandardMerge,0,0.000000
3900,Random,Hybrid,10,12.000000
3900,AlmostSorted,Hybrid,10,0.000000
3900,ReverseSorted,Hybrid,10,21.000000
3900,Random,Hybrid,50,10.000000
3900,AlmostSorted,Hybrid,50,0.000000
3900,ReverseSorted,Hybrid,50,28.000000
4000,Random,StandardMerge,0,0.000000
4000,AlmostSorted,StandardMerge,0,0.000000
4000,ReverseSorted,StandardMerge,0,0.000000
4000,Random,Hybrid,10,16.000000
4000,AlmostSorted,Hybrid,10,0.000000
4000,ReverseSorted,Hybrid,10,23.000000
4000,Random,Hybrid,50,11.000000
4000,AlmostSorted,Hybrid,50,0.000000
4000,ReverseSorted,Hybrid,50,22.000000
4100,Random,StandardMerge,0,2.000000
4100,AlmostSorted,StandardMerge,0,1.000000
4100,ReverseSorted,StandardMerge,0,2.000000
4100,Random,Hybrid,10,18.000000
4100,AlmostSorted,Hybrid,10,0.000000
4100,ReverseSorted,Hybrid,10,25.000000
4100,Random,Hybrid,50,11.000000
4100,AlmostSorted,Hybrid,50,0.000000
4100,ReverseSorted,Hybrid,50,23.000000
4200,Random,StandardMerge,0,0.000000
4200,AlmostSorted,StandardMerge,0,0.000000
4200,ReverseSorted,StandardMerge,0,0.000000
4200,Random,Hybrid,10,12.000000
4200,AlmostSorted,Hybrid,10,0.000000
4200,ReverseSorted,Hybrid,10,24.000000
4200,Random,Hybrid,50,12.000000
4200,AlmostSorted,Hybrid,50,0.000000
4200,ReverseSorted,Hybrid,50,25.000000
4300,Random,StandardMerge,0,0.000000
4300,AlmostSorted,StandardMerge,0,0.000000
4300,ReverseSorted,StandardMerge,0,0.000000
4300,Random,Hybrid,10,29.000000
4300,AlmostSorted,Hybrid,10,0.000000
4300,ReverseSorted,Hybrid,10,26.000000
4300,Random,Hybrid,50,12.000000
4300,AlmostSorted,Hybrid,50,0.000000
4300,ReverseSorted,Hybrid,50,34.000000
4400,Random,StandardMerge,0,0.000000
4400,AlmostSorted,StandardMerge,0,0.000000
4400,ReverseSorted,StandardMerge,0,0.000000
4400,Random,Hybrid,10,13.000000
4400,AlmostSorted,Hybrid,10,0.000000
4400,ReverseSorted,Hybrid,10,27.000000
4400,Random,Hybrid,50,13.000000
4400,AlmostSorted,Hybrid,50,0.000000
4400,ReverseSorted,Hybrid,50,41.000000
4500,Random,StandardMerge,0,2.000000
4500,AlmostSorted,StandardMerge,0,1.000000
4500,ReverseSorted,StandardMerge,0,1.000000
